	GSM2692159	GSM2692160	GSM2692161	GSM2692162	GSM2692163	GSM2692164
ENO1	18.2726170542621	18.3070559293713	18.3214534208588	18.5016125151377	18.3909337598561	18.5016125151377
EEF1A1	18.349995667809	18.3909337598561	18.3070559293713	18.349995667809	18.5016125151377	18.3909337598561
FTH1P3	18.3909337598561	18.3214534208588	18.349995667809	18.3070559293713	18.3070559293713	18.349995667809
PPIAL4D	18.3214534208588	18.349995667809	18.2726170542621	18.2500717125435	18.2726170542621	18.2500717125435
GAPDH	18.2500717125435	18.2726170542621	18.2317155549296	18.155119999614	18.349995667809	18.2726170542621
RPS2	18.0082490326208	18.0082490326208	18.0418004342732	18.2726170542621	18.2500717125435	18.1323642317965
FTL	17.7226590748448	17.7721926463284	17.7012602641092	18.3909337598561	18.3214534208588	18.3214534208588
ACTB	18.0418004342732	18.0330553709669	18.0980533768017	18.1848265687074	17.9223186689755	17.9223186689755
RPSA	17.9607760431859	17.9814963909668	17.8676289579032	18.2317155549296	18.0980533768017	18.0418004342732
FRMPD3-AS1	18.0980533768017	18.1323642317965	18.1323642317965	17.9362761168253	17.9515970115852	17.8899579133916
LCN1	18.0330553709669	18.0418004342732	18.0330553709669	17.8676289579032	18.0418004342732	18.0330553709669
RP4-668J24.2	17.9362761168253	17.8899579133916	17.9362761168253	17.9814963909668	17.9181723623964	17.9814963909668
TMSB10	17.7835847027945	17.9515970115852	17.8590691051438	17.8045869278232	18.1848265687074	18.0082490326208
HSP90AB1	17.6316770086642	17.6440878679011	17.7364345625034	18.0980533768017	18.1323642317965	18.2317155549296
LOC644936	17.6720471228347	17.6668687569169	17.6390723689907	18.0418004342732	18.0330553709669	18.1848265687074
RP11-835E18.5	17.6495274448798	17.6872056854301	17.6872056854301	18.0082490326208	18.0082490326208	18.155119999614
PTMA	17.8184045627635	17.8590691051438	17.9668295040597	17.6872056854301	17.8045869278232	17.9607760431859
AC068831.10	17.9181723623964	17.8399951505781	17.9223186689755	17.5667495530671	17.8590691051438	17.9362761168253
RPS28	17.6872056854301	17.6720471228347	17.6981516593732	17.9668295040597	17.8899579133916	17.9181723623964
PPP1R18	17.8676289579032	17.6589408261174	17.7835847027945	17.9515970115852	17.7364345625034	17.6668687569169
RPL36	17.9668295040597	17.9607760431859	17.994292045781	17.3033074590826	17.7104750488182	17.6981516593732
CITF22-62D4.1	17.7785279986245	17.6042728989597	17.7104750488182	17.9181723623964	17.7721926463284	17.7785279986245
RPLP1	17.8399951505781	17.7607951768189	17.7721926463284	17.9607760431859	17.5888392946518	17.6146608471397
RPS18	17.8045869278232	17.8045869278232	17.7785279986245	17.6720471228347	17.6872056854301	17.6720471228347
S100A6	17.2188706971667	17.3612316540283	17.4064460330331	17.994292045781	18.155119999614	18.0980533768017
AP002856.5	17.7364345625034	17.5823327872176	17.5947862261832	17.7721926463284	17.7835847027945	17.7607951768189
RPL13AP20	17.7721926463284	17.7515948417947	17.7607951768189	17.6042728989597	17.5305036165889	17.6178923113435
RPL18A	17.8590691051438	17.9362761168253	17.8399951505781	17.37945933757	17.6440878679011	17.3525301471896
