	lncRNA
1	MIR1302-2HG
2	FAM138A
3	RP11-34P13.7
4	RP11-34P13.8
5	RP11-34P13.14
6	RP11-34P13.13
7	RP11-34P13.9
8	AP006222.3
9	RP4-669L17.2
10	RP5-857K21.2
11	RP11-206L10.4
12	LINC01409
13	FAM87B
14	LINC01128
15	LINC00115
16	RP11-206L10.19
17	FAM41C
18	RP11-54O7.16
19	RP11-54O7.1
20	RP11-54O7.2
21	LINC02593
22	RP11-54O7.17
23	RP11-54O7.11
24	RP11-54O7.14
25	RP11-54O7.18
26	RP11-465B22.9
27	LINC01342
28	RP11-465B22.8
29	TTLL10-AS1
30	RP5-902P8.12
31	LINC01786
32	RP5-890O3.9
33	MRPL20-AS1
34	MRPL20-DT
35	RP4-758J18.7
36	LINC01770
37	RP5-832C2.5
38	RP11-345P4.12
39	RP11-345P4.9
40	RP11-345P4.10
41	RP1-283E3.8
42	RP1-140A9.1
43	RP11-547D24.1
44	RP11-547D24.3
45	RP5-892K4.1
46	PRKCZ-AS1
47	RP11-181G12.4
48	RP11-181G12.8
49	RP4-713A8.1
50	RP4-740C4.7
51	RP3-395M20.2
52	RP3-395M20.3
53	RP3-395M20.12
54	TNFRSF14-AS1
55	RP3-395M20.7
56	RP3-395M20.9
57	MMEL1-AS1
58	ABC14-1188822O7.2
59	ABC14-1188822O7.1
60	RP11-740P5.2
61	RP11-740P5.4
62	RP11-740P5.3
63	RP5-907A6.1
64	PRDM16-DT
65	RP1-163G9.2
66	RP11-193J6.1
67	RP11-22L13.1
68	RP4-785P20.3
69	RP4-785P20.2
70	RP11-168F9.2
71	RP11-46F15.2
72	TP73-AS3
73	TP73-AS2
74	RP1-286D6.5
75	LINC01134
76	LINC01346
77	LINC01345
78	LINC02780
79	RP11-718D19.2
80	LINC01777
81	RP5-1166F10.2
82	RP1-37J18.1
83	LINC01646
84	RP1-77N19.1
85	RP4-603B14.2
86	LINC02781
87	LINC02782
88	RP4-703E10.1
89	RP1-58B11.2
90	RP1-58B11.3
91	RP1-58B11.1
92	RP11-154H17.1
93	RNF207-AS1
94	LINC00337
95	RP1-202O8.3
96	RP1-202O8.2
97	LINC01672
98	RP11-242F24.2
99	CAMTA1-DT
100	RP11-334N17.1
101	CAMTA1-IT1
102	CAMTA1-AS2
103	CAMTA1-AS1
104	RP11-338N10.1
105	RP11-338N10.2
106	RP11-338N10.3
107	RP3-467L1.6
108	RP3-467L1.4
109	CTA-215D11.6
110	CTA-215D11.5
111	RP11-431K24.1
112	LINC01714
113	RP11-431K24.4
114	RERE-AS1
115	RP4-633I8.4
116	ENO1-AS1
117	MIR34AHG
118	LNCTAM34A
119	CTD-2510L9.2
120	LINC02606
121	RP13-392I16.1
122	PIK3CD-AS1
123	PIK3CD-AS2
124	RP11-84A14.7
125	RP11-84A14.5
126	RP11-84A14.8
127	RP11-84A14.4
128	RP11-807G9.2
129	RP4-736L20.4
130	RP4-736L20.5
131	RP4-736L20.3
132	RP5-1113E3.3
133	RP4-734G22.4
134	RP4-734G22.3
135	RP4-635E18.7
136	EXOSC10-AS1
137	MTOR-AS1
138	RP4-796F18.3
139	RP11-149P14.2
140	LINC01647
141	RP3-330O12.5
142	C1orf167-AS1
143	RP5-934G17.7
144	RP5-1077B9.6
145	RP11-426M1.3
146	LINC02766
147	RP11-474O21.5
148	LINC01784
149	RP13-221M14.2
150	RP11-219C24.10
151	RP4-597A16.2
152	CTA-520D8.2
153	RP11-344F13.1
154	KAZN-AS1
155	RP5-864I18.1
156	TMEM51-AS1
157	C1orf195
158	FHAD1-AS1
159	RP3-467K16.7
160	RP3-467K16.4
161	RP4-680D5.8
162	RP4-680D5.2
163	RP4-680D5.9
164	RP11-288I21.1
165	SLC25A34-AS1
166	FLJ37453
167	RP11-5P18.5
168	RP11-276H7.2
169	RP11-276H7.3
170	ARHGEF19-AS1
171	RP4-733M16.8
172	LINC01772
173	RP4-798A10.7
174	RP4-798A10.8
175	RP4-798A10.4
176	LINC01783
177	RP5-1182A14.5
178	RP1-163M9.8
179	RP1-163M9.7
180	RP5-1182A14.7
181	RP11-108M9.1
182	RP11-108M9.3
183	RP11-108M9.4
184	RP11-108M9.6
185	RP1-37C10.7
186	RP1-37C10.3
187	LINC02783
188	RP11-380J14.4
189	RCC2-AS1
190	LINC02810
191	RP11-658E23.1
192	LINC01654
193	RP11-174G17.3
194	IGSF21-AS1
195	RP11-422P22.1
196	RP5-1126H10.2
197	EMC1-AS1
198	RP5-1056L3.1
199	RP11-91K11.2
200	RP3-340N1.2
201	LINC01757
202	RP3-340N1.7
203	RP4-745E8.2
204	LINC01141
205	RP4-749H3.2
206	RP4-749H3.4
207	RP4-749H3.3
208	PINK1-AS
209	RP5-930J4.2
210	RP3-329E20.3
211	RP3-329E20.2
212	ECE1-AS1
213	RP11-293F5.1
214	LINC02596
215	RP1-224A6.11
216	LINC01635
217	LINC00339
218	CDC42-AS1
219	CDC42-IT1
220	RP1-163O16.1
221	RP11-415K20.2
222	ZBTB40-IT1
223	RP11-69E9.1
224	RP1-184J9.2
225	LINC01355
226	RP5-1057J7.8
227	ZNF436-AS1
228	RP5-1057J7.7
229	RP1-150O5.3
230	RP1-150O5.4
231	MDS2
232	ELOA-AS1
233	RP11-4M23.3
234	RP11-293P20.2
235	MYOM3-AS1
236	LINC02800
237	GRHL3-AS1
238	RCAN3AS
239	NCMAP-DT
240	RP11-373M8.2
241	RUNX3-AS1
242	RP11-84D1.2
243	LINC02793
244	RP4-799D16.1
245	RP4-706G24.1
246	RP3-465N24.7
247	RP3-465N24.8
248	RP3-465N24.6
249	RP11-70P17.1
250	RP1-187B23.1
251	RP1-317E23.3
252	RP1-317E23.7
253	RP1-125I3.2
254	RP11-96L14.9
255	DHDDS-AS1
256	RP5-968P14.2
257	RP1-50O24.6
258	RP11-40H20.4
259	RP4-752I6.1
260	RP1-159A19.4
261	LINC02574
262	RP11-288L9.4
263	RP3-426I6.8
264	RP3-426I6.5
265	RP3-426I6.6
266	RP3-426I6.7
267	RP11-460I13.2
268	RP5-1092A3.4
269	RP5-1092A3.5
270	SNHG3
271	RP4-669K10.8
272	SNHG12
273	LINC01715
274	RNU11
275	RP1-212P9.3
276	RP11-242O24.3
277	RP11-467D18.2
278	LINC01756
279	RP4-656G21.1
280	RP11-179G8.2
281	LINC01648
282	RP5-893G23.1
283	RP4-591L5.1
284	RP4-591L5.2
285	MATN1-AS1
286	RP5-1166H10.4
287	RP5-1125N11.1
288	LINC01778
289	RP1-65J11.5
290	RP11-266K22.2
291	LINC01226
292	RP11-73M7.1
293	PEF1-AS1
294	RP11-73M7.9
295	RP11-84A19.3
296	RP11-84A19.2
297	RP11-84A19.4
298	RP4-534N18.2
299	RP4-534N18.4
300	RP11-277A4.4
301	RP4-622L5.2
302	RP4-622L5.7
303	RP4-811H24.9
304	RP11-114B7.6
305	RP5-1174N9.3
306	RP5-1174N9.2
307	RP1-117O3.2
308	RP11-131M11.2
309	RP11-131M11.3
310	RP11-131M11.4
311	RP11-415J8.7
312	RP11-415J8.3
313	PHC2-AS1
314	CSMD2-AS1
315	RP4-651I17.1
316	RP1-34M23.5
317	RP5-997D16.2
318	RP11-181E22.4
319	ZMYM4-AS1
320	TFAP2E-AS1
321	RP11-435D7.3
322	RP4-789D17.6
323	RP4-789D17.5
324	RP4-665N4.8
325	RP11-268J15.6
326	RP11-251B9.1
327	RP4-614N24.3
328	RP4-614N24.1
329	RP3-406M12.1
330	RP5-1180C18.1
331	LINC01137
332	RP11-566C13.2
333	RP11-109P14.9
334	RP11-109P14.10
335	MIR3659HG
336	LINC02786
337	RP11-214L19.3
